12,50,6,32,16,1,10,19,37,33,31,23,8,40,43,7,38,29,36,25,35,42,39,5,47,15,30,20,11,24,41,34,14,48,44,3,2,28,26,13,22,0,4,9,18,46,45,21,17,27,49
6,18,12,5,41,10,30,14,29,37,49,15,4,16,33,17,35,23,11,27,25,47,2,24,8,0,13,1,38,20,3,31,9,34,7,40,36,32,19,44,43,45,46,21,42,50,48,22,39,28,26
14,24,9,48,22,31,38,43,15,0,7,41,39,44,1,10,49,29,17,19,5,25,23,13,3,50,18,47,16,27,40,2,33,12,26,37,45,4,36,20,34,21,32,42,11,35,30,6,28,46,8
14,23,26,41,27,29,16,40,13,2,18,25,4,22,9,33,12,1,48,17,32,36,30,7,21,42,15,11,19,0,24,37,6,43,35,50,47,3,8,38,10,45,46,20,49,31,44,5,28,39,34
34,23,2,16,33,10,40,12,0,42,22,8,49,50,9,25,15,18,6,3,26,14,39,46,20,41,1,24,4,13,37,38,31,43,35,27,29,30,5,28,17,36,48,19,32,7,11,45,47,21,44
45,39,42,19,36,13,30,29,25,28,43,18,15,35,33,47,3,32,26,6,37,40,16,14,11,44,24,5,2,17,1,41,23,0,34,38,10,20,48,9,7,21,50,22,49,31,12,8,27,4,46
23,49,18,21,22,47,27,29,43,41,3,8,36,28,44,5,30,7,48,24,2,39,25,14,17,26,45,11,0,46,38,12,42,13,9,15,50,1,10,19,20,40,32,4,33,16,35,34,6,37,31
13,31,47,48,50,44,24,32,29,46,21,28,26,8,5,40,27,33,3,30,35,9,43,1,19,37,12,17,6,22,15,39,49,36,41,2,34,20,11,14,38,25,23,0,10,18,42,4,7,45,16
13,19,20,34,29,43,17,4,12,50,0,10,47,9,25,8,30,46,31,26,42,48,24,15,22,21,11,5,36,14,40,35,23,38,6,28,1,45,7,37,44,32,2,27,18,49,41,3,33,39,16
30,31,2,48,33,21,7,15,9,45,32,28,25,8,36,6,24,40,1,42,0,38,22,41,37,23,4,49,47,43,19,26,18,14,39,12,46,20,11,29,10,27,34,3,5,16,44,17,35,13,50
16,37,8,19,32,17,30,27,20,49,34,22,15,31,29,48,5,1,45,25,9,36,13,44,26,40,0,33,11,35,39,23,3,42,10,7,43,28,6,14,18,4,38,2,12,47,24,46,41,50,21
