6,2,49,28,22,13,45,36,3,16,12,35,33,25,34,23,18,42,4,46,31,21,8,37,50,1,32,44,29,26,7,20,30,43,47,39,24,9,40,15,48,5,10,19,27,11,38,0,41,17,14
7,14,17,21,37,49,47,3,11,36,15,32,24,28,10,16,48,34,42,25,43,2,33,41,38,44,31,18,9,39,22,6,29,20,45,50,13,30,5,46,26,12,1,27,40,0,19,4,23,35,8
46,43,0,48,1,44,17,26,18,37,13,27,6,4,25,3,9,15,5,19,21,28,32,20,41,50,39,10,14,7,30,31,33,42,45,23,12,35,22,8,36,34,40,29,24,38,11,47,2,16,49
12,11,25,5,13,47,3,20,37,10,44,40,28,16,43,50,42,4,45,9,26,22,21,31,35,36,17,29,23,33,24,32,6,34,48,27,14,46,39,15,18,49,7,30,0,2,1,19,38,8,41
43,26,22,17,30,4,50,46,40,34,45,33,23,16,11,0,13,37,42,44,8,3,5,24,12,48,19,25,47,14,38,10,18,32,29,39,35,49,28,21,31,9,7,2,36,20,41,6,27,1,15
9,33,5,35,6,15,41,0,34,32,31,19,18,25,7,26,4,49,3,27,40,22,11,45,42,43,24,8,29,17,46,30,44,1,20,47,12,10,13,2,36,50,16,21,39,14,38,48,28,37,23
46,25,37,2,23,22,29,44,49,10,27,40,42,12,38,9,50,43,15,20,11,16,31,5,45,41,36,19,17,0,24,6,48,21,14,47,7,3,13,33,18,35,1,34,39,28,32,26,8,4,30
42,11,50,12,9,21,2,43,20,22,5,7,8,15,1,41,32,39,3,29,18,49,30,17,44,16,35,46,24,0,33,23,48,6,10,28,36,13,38,25,27,34,40,26,31,19,4,45,37,47,14
21,18,29,12,42,14,33,22,38,30,15,0,28,50,26,8,3,35,19,43,37,4,31,39,20,44,40,24,7,10,41,49,27,46,1,34,32,23,5,11,25,2,47,36,45,16,6,13,48,9,17
2,30,44,17,16,34,5,25,19,48,31,32,0,15,6,21,4,9,46,38,43,12,3,11,33,24,13,20,26,7,14,1,47,22,42,39,37,40,28,10,18,35,36,45,41,8,50,49,29,23,27
43,10,34,7,21,36,15,18,26,37,11,20,27,14,13,25,28,9,19,46,50,12,0,6,31,4,35,16,3,42,5,32,33,29,24,1,2,44,45,48,39,47,41,40,8,22,17,49,38,23,30
9,35,40,33,34,50,22,39,32,27,38,4,6,43,17,15,49,12,46,13,1,45,47,41,3,24,2,8,21,25,5,37,30,16,0,14,18,23,19,36,29,10,26,28,48,31,7,42,20,44,11
48,22,19,34,17,49,20,24,30,0,8,15,18,35,25,29,40,7,47,27,26,33,41,43,38,46,13,14,9,50,31,6,39,1,21,45,28,32,10,42,5,37,16,2,11,36,44,4,23,3,12
36,21,49,38,5,0,13,25,3,2,4,33,35,16,27,24,11,20,12,30,47,44,34,18,26,32,22,31,7,1,43,17,42,45,28,23,10,6,50,48,39,8,15,14,19,37,9,29,46,40,41
0,4,31,23,9,40,37,3,22,8,17,26,30,16,6,43,7,2,41,35,33,29,21,45,19,47,42,20,32,11,48,13,27,14,1,15,38,28,18,12,24,49,36,50,39,10,46,34,44,25,5
26,29,25,17,46,50,13,47,32,27,5,11,21,38,44,2,33,8,24,43,40,41,31,6,14,0,9,35,30,18,45,1,22,28,4,16,34,10,3,49,42,19,12,7,48,39,36,23,20,37,15
17,18,38,9,45,22,29,37,28,25,32,12,50,3,6,2,46,43,8,27,44,39,26,35,15,24,19,5,21,40,11,14,49,20,1,7,48,41,34,10,42,16,13,4,33,23,47,0,31,30,36
5,3,37,12,13,39,40,36,41,30,44,6,20,26,9,50,0,25,34,27,16,15,22,11,8,38,4,42,2,28,33,18,23,14,17,46,1,48,24,35,47,43,29,45,32,19,21,49,7,10,31
